fec_company,list_id
Hilton Worldwide Holdings,f1000_240
First Data,f1000_241
Henry Schein,f1000_242
Toys 'R' Us,f1000_243
BB&T Corp.,f1000_244
Reinsurance Group of America,f1000_245
Core-Mark Holding,f1000_246
Biogen,f1000_247
Las Vegas Sands,f1000_248
Stanley Black & Decker,f1000_249
Parker-Hannifin,f1000_250
Stryker,f1000_251
Estee Lauder,f1000_252
Celgene,f1000_253
BlackRock,f1000_254
Xcel Energy,f1000_255
CSX,f1000_256
Unum Group,f1000_257
Jacobs Engineering Group,f1000_258
Lennar,f1000_259
Group 1 Automotive,f1000_260
Leucadia National,f1000_261
Entergy,f1000_262
PayPal Holdings,f1000_263
Applied Materials,f1000_264
Voya Financial,f1000_265
Mastercard,f1000_266
Priceline Group,f1000_267
Liberty Interactive,f1000_268
AutoZone,f1000_269
State Street Corp.,f1000_270
DTE Energy,f1000_271
L3 Technologies,f1000_272
HollyFrontier,f1000_273
Praxair,f1000_274
Universal Health Services,f1000_275
Discover Financial Services,f1000_276
Occidental Petroleum,f1000_277
United States Steel,f1000_278
Sempra Energy,f1000_279
Baxter International,f1000_280
W.W. Grainger,f1000_281
Autoliv,f1000_282
Norfolk Southern,f1000_283
Baker Hughes,f1000_284
Ally Financial,f1000_285
Sonic Automotive,f1000_286
Owens & Minor,f1000_287
Huntsman,f1000_288
Laboratory Corp. of America,f1000_289
Murphy USA,f1000_290
Advance Auto Parts,f1000_291
Fidelity National Financial,f1000_292
Air Products & Chemicals,f1000_293
Hormel Foods,f1000_294
Hertz Global Holdings,f1000_295
MGM Resorts International,f1000_296
Corning,f1000_297
Republic Services,f1000_298
Alcoa,f1000_299
Fidelity National Information Services,f1000_300
Pacific Life,f1000_301
SunTrust Banks,f1000_302
LKQ,f1000_303
BorgWarner,f1000_304
Ball,f1000_305
CST Brands,f1000_306
Public Service Enterprise Group,f1000_307
Eastman Chemical,f1000_308
eBay,f1000_309
Mohawk Industries,f1000_310
Oneok,f1000_311
Frontier Communications,f1000_312
Netflix,f1000_313
American Family Insurance Group,f1000_314
Thrivent Financial for Lutherans,f1000_315
Expedia,f1000_316
Lithia Motors,f1000_317
Avis Budget Group,f1000_318
Reliance Steel & Aluminum,f1000_319
GameStop,f1000_320
Tenneco,f1000_321
O'Reilly Automotive,f1000_322
Peter Kiewit Sons',f1000_323
United Natural Foods,f1000_324
salesforce.com,f1000_325
Boston Scientific,f1000_326
Newmont Mining,f1000_327
Genworth Financial,f1000_328
Live Nation Entertainment,f1000_329
Veritiv,f1000_330
News Corp.,f1000_331
Crown Holdings,f1000_332
Global Partners,f1000_333
PVH,f1000_334
Level 3 Communications,f1000_335
Navistar International,f1000_336
Univar,f1000_337
Campbell Soup,f1000_338
Dick's Sporting Goods,f1000_339
Weyerhaeuser,f1000_340
Mutual of Omaha Insurance,f1000_341
Chesapeake Energy,f1000_342
Anadarko Petroleum,f1000_343
Interpublic Group,f1000_344
J.M. Smucker,f1000_345
Steel Dynamics,f1000_346
Foot Locker,f1000_347
Western Refining,f1000_348
SpartanNash,f1000_349
Dean Foods,f1000_350
Zimmer Biomet Holdings,f1000_351
PulteGroup,f1000_352
W.R. Berkley,f1000_353
Quanta Services,f1000_354
EOG Resources,f1000_355
Charles Schwab,f1000_356
Eversource Energy,f1000_357
Anixter International,f1000_358
EMCOR Group,f1000_359
Assurant,f1000_360
CenterPoint Energy,f1000_361
Harris,f1000_362
HD Supply Holdings,f1000_363
PPL,f1000_364
Quest Diagnostics,f1000_365
Williams,f1000_366
WEC Energy Group,f1000_367
Hershey,f1000_368
AGCO,f1000_369
Ralph Lauren,f1000_370
Masco,f1000_371
WESCO International,f1000_372
LifePoint Health,f1000_373
National Oilwell Varco,f1000_374
Kindred Healthcare,f1000_375
Mosaic,f1000_376
Alliance Data Systems,f1000_377
Computer Sciences,f1000_378
Huntington Ingalls Industries,f1000_379
Leidos Holdings,f1000_380
Erie Insurance Group,f1000_381
Tesla,f1000_382
Ascena Retail Group,f1000_383
Darden Restaurants,f1000_384
Harman International Industries,f1000_385
Nvidia,f1000_386
R.R. Donnelley & Sons,f1000_387
Fifth Third Bancorp,f1000_388
Quintiles IMS Holdings,f1000_389
Jones Lang LaSalle,f1000_390
Dover,f1000_391
Spirit AeroSystems Holdings,f1000_392
Ryder System,f1000_393
A-Mark Precious Metals,f1000_394
Tractor Supply,f1000_395
Sealed Air,f1000_396
Auto-Owners Insurance,f1000_397
Yum China Holdings,f1000_398
Calpine,f1000_399
Owens-Illinois,f1000_400
Targa Resources,f1000_401
JetBlue Airways,f1000_402
Jones Financial (Edward Jones),f1000_403
Franklin Resources,f1000_404
Activision Blizzard,f1000_405
J.B. Hunt Transport Services,f1000_406
Constellation Brands,f1000_407
NCR,f1000_408
Asbury Automotive Group,f1000_409
American Financial Group,f1000_410
Discovery Communications,f1000_411
Berry Global Group,f1000_412
Sanmina,f1000_413
CalAtlantic Group,f1000_414
Dr Pepper Snapple Group,f1000_415
Dillard's,f1000_416
HRG Group,f1000_417
CMS Energy,f1000_418
Graybar Electric,f1000_419
Builders FirstSource,f1000_420
Yum Brands,f1000_421
Casey's General Stores,f1000_422
Amphenol,f1000_423
Oshkosh,f1000_424
iHeartMedia,f1000_425
TreeHouse Foods,f1000_426
Alleghany,f1000_427
Expeditors International of Washington,f1000_428
Avery Dennison,f1000_429
Ameren,f1000_430
Hanesbrands,f1000_431
Motorola Solutions,f1000_432
St. Jude Medical,f1000_433
Harley-Davidson,f1000_434
Regions Financial,f1000_435
Intercontinental Exchange,f1000_436
Alaska Air Group,f1000_437
Old Republic International,f1000_438
Lam Research,f1000_439
AK Steel Holding,f1000_440
Rockwell Automation,f1000_441
Adobe Systems,f1000_442
Avon Products,f1000_443
Terex,f1000_444
NVR,f1000_445
Dana,f1000_446
Realogy Holdings,f1000_447
American Tower,f1000_448
Packaging Corp. of America,f1000_449
Citizens Financial Group,f1000_450
United Rentals,f1000_451
Clorox,f1000_452
Genesis Healthcare,f1000_453
M&T Bank Corp.,f1000_454
Ingredion,f1000_455
UGI,f1000_456
Owens Corning,f1000_457
S&P Global,f1000_458
Markel,f1000_459
Wyndham Worldwide,f1000_460
Arthur J. Gallagher,f1000_461
Burlington Stores,f1000_462
First American Financial,f1000_463
Symantec,f1000_464
Patterson,f1000_465
Olin,f1000_466
NetApp,f1000_467
Raymond James Financial,f1000_468
TravelCenters of America,f1000_469
Fiserv,f1000_470
Host Hotels & Resorts,f1000_471
Insight Enterprises,f1000_472
Mattel,f1000_473
AmTrust Financial Services,f1000_474
Cincinnati Financial,f1000_475
Simon Property Group,f1000_476
Western Union,f1000_477
KeyCorp,f1000_478
Delek US Holdings,f1000_479
Booz Allen Hamilton Holding,f1000_480
Chemours,f1000_481
Western & Southern Financial Group,f1000_482
Celanese,f1000_483
Windstream Holdings,f1000_484
Seaboard,f1000_485
Essendant,f1000_486
Apache,f1000_487
Airgas,f1000_488
Kelly Services,f1000_489
Liberty Media,f1000_490
Rockwell Collins,f1000_491
Robert Half International,f1000_492
CH2M Hill,f1000_493
Big Lots,f1000_494
Michaels Cos.,f1000_495
Toll Brothers,f1000_496
Yahoo,f1000_497
Vistra Energy,f1000_498
ABM Industries,f1000_499
Northern Trust,f1000_500
MasTec,f1000_501
Blackstone Group,f1000_502
Telephone & Data Systems,f1000_503
Domtar,f1000_504
Williams-Sonoma,f1000_505
Westlake Chemical,f1000_506
Post Holdings,f1000_507
Hasbro,f1000_508
