list_id,fec_company,cid_master,iss_id,ticker,ticker_alt,cusip,found_fec,search_ticker
f1000_161,Xerox,Xerox,169225.0,XRX,,984121608,True,False
f1000_163,Paccar,Paccar,116854.0,PCAR,,693718108,True,False
f1000_164,General Mills,General Mills,61839.0,GIS,,370334104,True,False
f1000_165,PNC Financial Services Group,PNC Financial Services Group,116690.0,PNC,,693475105,True,False
f1000_166,American Electric Power,American Electric Power,5133.0,AEP,,025537101,True,False
f1000_167,Icahn Enterprises,Icahn Enterprises,,IEP,,,True,False
f1000_168,Nucor,Nucor,112052.0,NUE,,670346105,True,False
f1000_169,NextEra Energy,NextEra Energy,51230.0,NEE,,65339F101,True,False
f1000_17,Kroger,Kroger,84246.0,KR,,501044101,True,False
f1000_170,Performance Food Group,Performance Food Group,120426.0,PFGC,,713755106,True,False
f1000_171,PBF Energy,PBF Energy,620425.0,PBF,,69318G106,True,False
f1000_172,Halliburton,Halliburton,67839.0,HAL,,406216101,True,False
f1000_173,CarMax,CarMax,535693.0,KMX,,143130102,True,False
f1000_174,Freeport-McMoRan,Freeport-McMoRan,59431.0,FCX,,35671D105,True,False
f1000_174,Freeport-McMoRan,Freeport-McMoRan,59431.0,FCX,,35671D857,True,False
f1000_175,Whole Foods Market,Whole Foods Market,166749.0,WFM,,966837106,True,False
f1000_177,Gap,Gap,61015.0,GPS,,364760108,True,False
f1000_178,Omnicom Group,Omnicom Group,114384.0,OMC,,681919106,True,False
f1000_179,Genuine Parts,Genuine Parts,62194.0,GPC,,372460105,True,False
f1000_18,Chevron,Chevron,529503.0,CVX,,166764100,True,False
f1000_180,DaVita,DaVita,524945.0,DVA,,23918K108,True,False
f1000_181,Colgate-Palmolive,Colgate-Palmolive,32396.0,CL,,194162103,True,False
f1000_182,PPG Industries,PPG Industries,116729.0,PPG,,693506107,True,False
f1000_183,Goodyear Tire & Rubber,Goodyear Tire & Rubber,,G,,,True,False
f1000_185,DISH Network,DISH Network,46791.0,DISH,,25470M109,True,False
f1000_186,Visa,Visa,584479.0,V,,92826C839,True,False
f1000_187,Nordstrom,Nordstrom,109672.0,JWN,,655664100,True,False
f1000_188,INTL FCStone,INTL FCStone,518088.0,INTL,,46116V105,True,False
f1000_189,WestRock,WestRock,131867.0,WRK,,96145D105,True,False
f1000_19,Fannie Mae,Fannie Mae,,FNMA,,,True,False
f1000_190,XPO Logistics,XPO Logistics,,XPO,,,True,False
f1000_191,Aramark,Aramark,,ARMK,,,True,False
f1000_192,CBS,CBS,160556.0,CBS,,124857202,True,False
f1000_192,CBS,CBS,160556.0,CBS,,925524AC4,True,False
f1000_193,AES,AES,335.0,AES,,00130H105,True,False
f1000_194,WellCare Health Plans,WellCare Health Plans,555860.0,WCG,,94946T106,True,False
f1000_195,FirstEnergy,FirstEnergy,56674.0,FE,,337932107,True,False
f1000_197,Synnex,Synnex,551810.0,SNX,,87162W100,True,False
f1000_198,CDW,CDW,,CDW,,,True,False
f1000_199,Textron,Textron,152031.0,TXT,,883203101,True,False
f1000_2,Apple,Apple,,APPL,,,True,False
f1000_20,J.P. Morgan Chase,J.P. Morgan Chase,525302.0,JPM,,16161LAA2,True,False
f1000_20,J.P. Morgan Chase,J.P. Morgan Chase,525302.0,JPM,,46625H100,True,False
f1000_200,Waste Management,Waste Management,163042.0,WM,,040420AA9,True,False
f1000_200,Waste Management,Waste Management,513289.0,WM,,94106L109,True,False
f1000_201,Illinois Tool Works,Illinois Tool Works,75161.0,ITW,,452308109,True,False
f1000_202,Office Depot,Office Depot,113481.0,ODP,,676220106,True,False
f1000_203,Monsanto,Monsanto,524483.0,MON,,61166W101,True,False
f1000_204,Cognizant Technology Solutions,Cognizant Technology Solutions,513577.0,CTSH,,192446102,True,False
f1000_205,Texas Instruments,Texas Instruments,151872.0,TXN,,882508104,True,False
f1000_205,Texas Instruments,Texas Instruments,151872.0,TXN,,882508203,True,False
f1000_206,Lincoln National,Lincoln National,89127.0,LNC,,534187109,True,False
f1000_207,Newell Brands,Newell Brands,513326.0,NWL,,651229106,True,False
f1000_208,Land O'Lakes,Land O'Lakes,,LAKE,,,True,False
f1000_209,Marsh & McLennan,Marsh & McLennan,95064.0,MMC,,571748102,True,False
f1000_21,Express Scripts Holding,Express Scripts Holding,50943.0,ESRX,,302182100,True,False
f1000_21,Express Scripts Holding,Express Scripts Holding,50943.0,ESRX,,30219G108,True,False
f1000_210,Ecolab,Ecolab,46821.0,ECL,,278865100,True,False
f1000_211,C.H. Robinson Worldwide,C.H. Robinson Worldwide,501999.0,CHRW,,12541W209,True,False
f1000_212,Loews,Loews,89979.0,L,,540424108,True,False
f1000_213,CBRE Group,CBRE Group,555528.0,CBG,,12497T101,True,False
f1000_213,CBRE Group,CBRE Group,555528.0,CBG,,12504L109,True,False
f1000_214,Kinder Morgan,Kinder Morgan,517730.0,KMI,,49456B101,True,False
f1000_215,Kellogg,Kellogg,82155.0,K,,487836108,True,False
f1000_216,Western Digital,Western Digital,165432.0,WDC,,958102105,True,False
f1000_218,Ross Stores,Ross Stores,132673.0,ROST,,778296103,True,False
f1000_219,L Brands,L Brands,88926.0,LB,,501797104,True,False
f1000_22,Home Depot,Home Depot,72444.0,HD,,437076102,True,False
f1000_220,J.C. Penney,J.C. Penney,119738.0,JCP,,708160106,True,False
f1000_220,J.C. Penney,J.C. Penney,119738.0,JCP,,708160AC0,True,False
f1000_222,Reynolds American,Reynolds American,515433.0,RAI,,761713106,True,False
f1000_222,Reynolds American,Reynolds American,515433.0,RAI,,76182K105,True,False
f1000_223,Viacom,Viacom,565883.0,VIAB,,92553P201,True,False
f1000_224,Becton Dickinson,Becton Dickinson,14363.0,BDX,,075887109,True,False
f1000_225,Micron Technology,Micron Technology,99345.0,MU,,595112103,True,False
f1000_227,Arconic,Arconic,512970.0,ARNC,,03965L100,True,False
f1000_228,NRG Energy,NRG Energy,523471.0,NRG,,629377508,True,False
f1000_229,VF,VF,159004.0,VFC,,918204108,True,False
f1000_23,Boeing,Boeing,17451.0,BA,,05563QAA8,True,False
f1000_23,Boeing,Boeing,17451.0,BA,,097023105,True,False
f1000_230,Devon Energy,Devon Energy,42628.0,DVN,,251799102,True,False
f1000_230,Devon Energy,Devon Energy,42628.0,DVN,,25179M103,True,False
f1000_231,D.R. Horton,D.R. Horton,39530.0,DHI,,23331A109,True,False
f1000_232,Bed Bath & Beyond,Bed Bath & Beyond,14364.0,BBBY,,075896100,True,False
f1000_233,Consolidated Edison,Consolidated Edison,513236.0,ED,,209111103,True,False
f1000_233,Consolidated Edison,Consolidated Edison,513236.0,ED,,209115104,True,False
f1000_235,Sherwin-Williams,Sherwin-Williams,140575.0,SHW,,824348106,True,False
f1000_236,NGL Energy Partners,NGL Energy Partners,,NGL,,,True,False
f1000_238,Ameriprise Financial,Ameriprise Financial,563950.0,AMP,,03076C106,True,False
f1000_239,ADP,ADP,10466.0,ADP,,053015103,True,False
f1000_24,Wells Fargo,Wells Fargo,164268.0,WFC,,66938FAA2,True,False
f1000_24,Wells Fargo,Wells Fargo,164268.0,WFC,,949746101,True,False
f1000_241,First Data,First Data,,FDC,,,True,False
f1000_242,Henry Schein,Henry Schein,137555.0,HSIC,,806407102,True,False
f1000_245,Reinsurance Group of America,Reinsurance Group of America,129520.0,RGA,,759351604,True,False
f1000_247,Biogen,Biogen,74502.0,BIIB,,09062X103,True,False
f1000_247,Biogen,Biogen,74502.0,BIIB,,449370105,True,False
f1000_248,Las Vegas Sands,Las Vegas Sands,,LVS,,,True,False
f1000_249,Stanley Black & Decker,Stanley Black & Decker,145941.0,SWK,,284054103,True,False
f1000_249,Stanley Black & Decker,Stanley Black & Decker,145941.0,SWK,,854502101,True,False
f1000_249,Stanley Black & Decker,Stanley Black & Decker,145941.0,SWK,,854616109,True,False
f1000_25,Bank of America Corp.,Bank of America Corp.,515366.0,BAC,,060505104,True,False
f1000_25,Bank of America Corp.,Bank of America Corp.,515366.0,BAC,,06605LAF6,True,False
f1000_250,Parker-Hannifin,Parker-Hannifin,118579.0,PH,,701094104,True,False
f1000_251,Stryker,Stryker,147528.0,SYK,,863667101,True,False
f1000_252,Estee Lauder,Estee Lauder,86784.0,EL,,518439104,True,False
f1000_253,Celgene,Celgene,26285.0,CELG,,151020104,True,False
f1000_254,BlackRock,BlackRock,517583.0,BLK,,09247X101,True,False
f1000_255,Xcel Energy,Xcel Energy,523645.0,XEL,,98389B100,True,False
f1000_256,CSX,CSX,21890.0,CSX,,126408103,True,False
f1000_257,Unum Group,Unum Group,520064.0,UNM,,903192102,True,False
f1000_257,Unum Group,Unum Group,520064.0,UNM,,91529Y106,True,False
f1000_258,Jacobs Engineering Group,Jacobs Engineering Group,79627.0,JEC,,469814107,True,False
f1000_259,Lennar,Lennar,87906.0,LEN,,526057104,True,False
f1000_259,Lennar,Lennar,87906.0,LEN,,526057203,True,False
f1000_26,Alphabet,Alphabet,543331.0,GOOGL,,02079K305,True,False
f1000_26,Alphabet,Alphabet,543331.0,GOOGL,,38259P508,True,False
f1000_260,Group 1 Automotive,Group 1 Automotive,513122.0,GPI,,398905109,True,False
f1000_261,Leucadia National,Leucadia National,88077.0,LUK,,527288104,True,False
f1000_262,Entergy,Entergy,,ELA,,,True,False
f1000_263,PayPal Holdings,PayPal Holdings,633560.0,PYPL,,70450Y103,True,False
f1000_264,Applied Materials,Applied Materials,7764.0,AMAT,,038222105,True,False
f1000_265,Voya Financial,Voya Financial,,VOYA,,,True,False
f1000_267,Priceline Group,Priceline Group,515426.0,PCLN,,741503403,True,False
f1000_268,Liberty Interactive,Liberty Interactive,,QVCA,,,True,False
f1000_269,AutoZone,AutoZone,10524.0,AZO,,053332102,True,False
f1000_27,Microsoft,Microsoft,142533.0,MSFT,,594918104,True,False
f1000_27,Microsoft,Microsoft,142533.0,MSFT,,594918203,True,False
f1000_271,DTE Energy,DTE Energy,39548.0,DTE,,233331107,True,False
f1000_273,HollyFrontier,HollyFrontier,72228.0,HFC,,436106108,True,False
f1000_274,Praxair,Praxair,124785.0,PX,,74005P104,True,False
f1000_275,Universal Health Services,Universal Health Services,158272.0,UHS,,913903100,True,False
f1000_276,Discover Financial Services,Discover Financial Services,576129.0,DFS,,254709108,True,False
f1000_277,Occidental Petroleum,Occidental Petroleum,113153.0,OXY,,674599105,True,False
f1000_278,United States Steel,United States Steel,531622.0,X,,912656303,True,False
f1000_278,United States Steel,United States Steel,531622.0,X,,912909108,True,False
f1000_279,Sempra Energy,Sempra Energy,513073.0,SRE,,816851109,True,False
f1000_28,Anthem,Anthem,529772.0,ANTM,,036752103,True,False
f1000_281,W.W. Grainger,W.W. Grainger,64489.0,GWW,,384802104,True,False
f1000_282,Autoliv,Autoliv,,ALV,,,True,False
f1000_283,Norfolk Southern,Norfolk Southern,109698.0,NSC,,655844108,True,False
f1000_284,Baker Hughes,Baker Hughes,11475.0,BHI,,057224107,True,False
f1000_285,Ally Financial,Ally Financial,,ALLY,,,True,False
f1000_286,Sonic Automotive,Sonic Automotive,512716.0,SAH,,83545G102,True,False
f1000_287,Owens & Minor,Owens & Minor,116192.0,OMI,,690732102,True,False
f1000_288,Huntsman,Huntsman,,HUN,,,True,False
f1000_29,Citigroup,Citigroup,513010.0,C,,172967101,True,False
f1000_29,Citigroup,Citigroup,513010.0,C,,172967424,True,False
f1000_29,Citigroup,Citigroup,513010.0,C,,17303MAA7,True,False
f1000_290,Murphy USA,Murphy USA,623612.0,MUSA,,626755102,True,False
f1000_291,Advance Auto Parts,Advance Auto Parts,531421.0,AAP,,00751Y106,True,False
f1000_292,Fidelity National Financial,Fidelity National Financial,564390.0,FNF,,31620R105,True,False
f1000_292,Fidelity National Financial,Fidelity National Financial,564390.0,FNF,,31620R303,True,False
f1000_293,Air Products & Chemicals,Air Products & Chemicals,2266.0,APD,,009158106,True,False
f1000_294,Hormel Foods,Hormel Foods,72986.0,HRL,,440452100,True,False
f1000_295,Hertz Global Holdings,Hertz Global Holdings,,HRI,,,True,False
f1000_297,Corning,Corning,36978.0,GLW,,219350105,True,False
f1000_297,Corning,Corning,36978.0,GLW,,219350113,True,False
f1000_298,Republic Services,Republic Services,513057.0,RSG,,760759100,True,False
f1000_3,Exxon Mobil,Exxon Mobil,50980.0,XOM,,30231G102,True,False
f1000_30,Comcast,Comcast,33490.0,CMCSA,,200300101,True,False
f1000_30,Comcast,Comcast,33490.0,CMCSA,,20030N101,True,False
f1000_300,Fidelity National Information Services,Fidelity National Information Services,528088.0,FIS,,156880AA4,True,False
f1000_300,Fidelity National Information Services,Fidelity National Information Services,528088.0,FIS,,31620M106,True,False
f1000_302,SunTrust Banks,SunTrust Banks,148574.0,STI,,867914103,True,False
f1000_303,LKQ,LKQ,549662.0,LKQ,,501889208,True,False
f1000_304,BorgWarner,BorgWarner,17923.0,BWA,,099724106,True,False
f1000_305,Ball,Ball,11654.0,BLL,,058498106,True,False
f1000_306,CST Brands,CST Brands,621941.0,CST,,12646R105,True,False
f1000_307,Public Service Enterprise Group,Public Service Enterprise Group,126347.0,PEG,,744573106,True,False
f1000_308,Eastman Chemical,Eastman Chemical,46579.0,EMN,,277432100,True,False
f1000_309,eBay,eBay,513346.0,EBAY,,278642103,True,False
f1000_31,IBM,IBM,77251.0,IBM,,459200101,True,False
f1000_310,Mohawk Industries,Mohawk Industries,101657.0,MHK,,23426R108,True,False
f1000_310,Mohawk Industries,Mohawk Industries,101657.0,MHK,,608190104,True,False
f1000_311,Oneok,Oneok,114647.0,OKE,,682678107,True,False
f1000_311,Oneok,Oneok,114647.0,OKE,,682680103,True,False
f1000_312,Frontier Communications,Frontier Communications,30283.0,FTR,,35906A108,True,False
f1000_312,Frontier Communications,Frontier Communications,30283.0,FTR,,35906A306,True,False
f1000_313,Netflix,Netflix,534296.0,NFLX,,64110L106,True,False
f1000_316,Expedia,Expedia,517034.0,EXPE,,302125109,True,False
f1000_316,Expedia,Expedia,517034.0,EXPE,,30212P105,True,False
f1000_316,Expedia,Expedia,517034.0,EXPE,,30212P303,True,False
f1000_317,Lithia Motors,Lithia Motors,89519.0,LAD,,536797103,True,False
f1000_318,Avis Budget Group,Avis Budget Group,502003.0,CAR,,053774105,True,False
f1000_318,Avis Budget Group,Avis Budget Group,502003.0,CAR,,151313AA1,True,False
f1000_319,Reliance Steel & Aluminum,Reliance Steel & Aluminum,129566.0,RS,,759509102,True,False
f1000_32,State Farm Insurance Cos.,State Farm Insurance Cos.,,STFGX,,,True,False
f1000_320,GameStop,GameStop,532380.0,GME,,36467W109,True,False
f1000_321,Tenneco,Tenneco,,TEN,,,True,False
f1000_322,O'Reilly Automotive,O'Reilly Automotive,115399.0,ORLY,,67103H107,True,False
f1000_322,O'Reilly Automotive,O'Reilly Automotive,115399.0,ORLY,,686091109,True,False
f1000_324,United Natural Foods,United Natural Foods,157553.0,UNFI,,911163103,True,False
f1000_325,salesforce.com,salesforce.com,555743.0,CRM,,79466L302,True,False
f1000_326,Boston Scientific,Boston Scientific,18106.0,BSX,,101137107,True,False
f1000_327,Newmont Mining,Newmont Mining,108924.0,NEM,,651639106,True,False
f1000_328,Genworth Financial,Genworth Financial,555155.0,GNW,,37247D106,True,False
f1000_329,Live Nation Entertainment,Live Nation Entertainment,565949.0,LYV,,538034109,True,False
f1000_33,Phillips 66,Phillips 66,613536.0,PSX,,718546104,True,False
f1000_330,Veritiv,Veritiv,628240.0,VRTV,,923454102,True,False
f1000_332,Crown Holdings,Crown Holdings,,CCK,,,True,False
f1000_333,Global Partners,Global Partners,,GLP,,,True,False
f1000_334,PVH,PVH,121298.0,PVH,,693656100,True,False
f1000_334,PVH,PVH,121298.0,PVH,,718592108,True,False
f1000_335,Level 3 Communications,Level 3 Communications,513373.0,LVLT,,52729N308,True,False
f1000_337,Univar,Univar,,UNVR,,,True,False
f1000_338,Campbell Soup,Campbell Soup,23355.0,CPB,,134429109,True,False
f1000_339,Dick's Sporting Goods,Dick's Sporting Goods,536990.0,DKS,,253393102,True,False
f1000_34,Johnson & Johnson,Johnson & Johnson,80710.0,JNJ,,478160104,True,False
f1000_340,Weyerhaeuser,Weyerhaeuser,166202.0,WY,,962166104,True,False
f1000_342,Chesapeake Energy,Chesapeake Energy,28590.0,CHK,,165167107,True,False
f1000_343,Anadarko Petroleum,Anadarko Petroleum,6689.0,APC,,032511107,True,False
f1000_344,Interpublic Group,Interpublic Group,77994.0,IPG,,460690100,True,False
f1000_345,J.M. Smucker,J.M. Smucker,142233.0,SJM,,832696306,True,False
f1000_345,J.M. Smucker,J.M. Smucker,142233.0,SJM,,832696405,True,False
f1000_346,Steel Dynamics,Steel Dynamics,146514.0,STLD,,858119100,True,False
f1000_347,Foot Locker,Foot Locker,529825.0,FL,,344849104,True,False
f1000_347,Foot Locker,Foot Locker,529825.0,FL,,922944103,True,False
f1000_348,Western Refining,Western Refining,565880.0,WNR,,959319104,True,False
f1000_349,SpartanNash,SpartanNash,523568.0,SPTN,,846822104,True,False
f1000_349,SpartanNash,SpartanNash,523568.0,SPTN,,847215100,True,False
f1000_35,Procter & Gamble,Procter & Gamble,125606.0,PG,,742718109,True,False
f1000_350,Dean Foods,Dean Foods,531464.0,DF,,242370104,True,False
f1000_350,Dean Foods,Dean Foods,531464.0,DF,,242370203,True,False
